time_iso,single_in_contact,constellation_in_contact,single_queue_bytes,constellation_queue_bytes,handoff_sat_id
2020-01-01T03:15:00Z,0,0,5740953600,5740953600,
2020-01-01T03:15:30Z,0,0,5756682240,5756682240,
2020-01-01T03:16:00Z,0,0,5772410880,5772410880,
2020-01-01T03:16:30Z,0,0,5788139520,5788139520,
2020-01-01T03:17:00Z,0,0,5803868160,5803868160,
2020-01-01T03:17:30Z,0,0,5819596800,5819596800,
2020-01-01T03:18:00Z,0,0,5835325440,5835325440,
2020-01-01T03:18:30Z,0,0,5851054080,5851054080,
2020-01-01T03:19:00Z,0,0,5866782720,5866782720,
2020-01-01T03:19:30Z,0,0,5882511360,5882511360,
2020-01-01T03:20:00Z,0,0,5898240000,5898240000,
2020-01-01T03:20:30Z,0,0,5913968640,5913968640,
2020-01-01T03:21:00Z,0,0,5929697280,5929697280,
2020-01-01T03:21:30Z,0,0,5945425920,5945425920,
2020-01-01T03:22:00Z,0,0,5961154560,5961154560,
2020-01-01T03:22:30Z,0,0,5976883200,5976883200,
2020-01-01T03:23:00Z,0,0,5992611840,5992611840,
2020-01-01T03:23:30Z,0,0,6008340480,6008340480,
2020-01-01T03:24:00Z,0,0,6024069120,6024069120,
2020-01-01T03:24:30Z,0,0,6039797760,6039797760,
2020-01-01T03:25:00Z,0,0,6055526400,6055526400,
2020-01-01T03:25:30Z,0,0,6071255040,6071255040,
2020-01-01T03:26:00Z,0,0,6086983680,6086983680,
2020-01-01T03:26:30Z,0,0,6102712320,6102712320,
2020-01-01T03:27:00Z,0,0,6118440960,6118440960,
2020-01-01T03:27:30Z,0,0,6134169600,6134169600,
2020-01-01T03:28:00Z,0,0,6149898240,6149898240,
2020-01-01T03:28:30Z,0,0,6165626880,6165626880,
2020-01-01T03:29:00Z,0,0,6181355520,6181355520,
2020-01-01T03:29:30Z,0,0,6197084160,6197084160,
2020-01-01T03:30:00Z,0,0,6212812800,6212812800,
2020-01-01T03:30:30Z,0,0,6228541440,6228541440,
2020-01-01T03:31:00Z,0,0,6244270080,6244270080,
2020-01-01T03:31:30Z,0,0,6259998720,6259998720,
2020-01-01T03:32:00Z,0,0,6275727360,6275727360,
2020-01-01T03:32:30Z,0,0,6291456000,6291456000,
2020-01-01T03:33:00Z,0,0,6307184640,6307184640,
2020-01-01T03:33:30Z,0,0,6322913280,6322913280,
2020-01-01T03:34:00Z,0,0,6338641920,6338641920,
2020-01-01T03:34:30Z,0,0,6354370560,6354370560,
2020-01-01T03:35:00Z,0,0,6370099200,6370099200,
2020-01-01T03:35:30Z,0,0,6385827840,6385827840,
2020-01-01T03:36:00Z,0,0,6401556480,6401556480,
2020-01-01T03:36:30Z,0,0,6417285120,6417285120,
2020-01-01T03:37:00Z,0,0,6433013760,6433013760,
2020-01-01T03:37:30Z,0,0,6448742400,6448742400,
2020-01-01T03:38:00Z,0,0,6464471040,6464471040,
2020-01-01T03:38:30Z,0,0,6480199680,6480199680,
2020-01-01T03:39:00Z,0,0,6495928320,6495928320,
2020-01-01T03:39:30Z,0,0,6511656960,6511656960,
2020-01-01T03:40:00Z,0,0,6527385600,6527385600,
2020-01-01T03:40:30Z,0,0,6543114240,6543114240,
2020-01-01T03:41:00Z,0,0,6558842880,6558842880,
2020-01-01T03:41:30Z,0,0,6574571520,6574571520,
2020-01-01T03:42:00Z,0,0,6590300160,6590300160,
2020-01-01T03:42:30Z,0,0,6606028800,6606028800,
2020-01-01T03:43:00Z,0,0,6621757440,6621757440,
2020-01-01T03:43:30Z,0,0,6637486080,6637486080,
2020-01-01T03:44:00Z,0,0,6653214720,6653214720,
2020-01-01T03:44:30Z,0,0,6668943360,6668943360,
2020-01-01T03:45:00Z,0,0,6684672000,6684672000,
2020-01-01T03:45:30Z,0,0,6700400640,6700400640,
2020-01-01T03:46:00Z,0,0,6716129280,6716129280,
2020-01-01T03:46:30Z,0,0,6731857920,6731857920,
2020-01-01T03:47:00Z,0,0,6747586560,6747586560,
2020-01-01T03:47:30Z,0,0,6763315200,6763315200,
2020-01-01T03:48:00Z,0,0,6779043840,6779043840,
2020-01-01T03:48:30Z,0,0,6794772480,6794772480,
2020-01-01T03:49:00Z,0,0,6810501120,6810501120,
2020-01-01T03:49:30Z,0,0,6826229760,6826229760,
2020-01-01T03:50:00Z,0,0,6841958400,6841958400,
2020-01-01T03:50:30Z,0,0,6857687040,6857687040,
2020-01-01T03:51:00Z,0,0,6873415680,6873415680,
2020-01-01T03:51:30Z,0,0,6889144320,6889144320,
